@timestamp,airqualitysensor.telemetry_co_unit,airqualitysensor.telemetry_co_value,airqualitysensor.telemetry_no2_unit,airqualitysensor.telemetry_no2_value,airqualitysensor.telemetry_o3_unit,airqualitysensor.telemetry_o3_value,airqualitysensor.telemetry_pm10_unit,airqualitysensor.telemetry_pm10_value,airqualitysensor.telemetry_pm25_unit,airqualitysensor.telemetry_pm25_value,airqualitysensor.telemetry_so2_unit,airqualitysensor.telemetry_so2_value,airqualitysensor.timestamp,airqualitysensor.uuid,measurement_name,tag.host,tag.sensor_type
2025-04-04T00:00:00Z,ppb,0.5,ppb,53.8,ppb,27.6,µg/m³,18.9,µg/m³,13.1,ppb,8.5,1743724800,5e2a7e55-79ea-4416-8f4a-af8e5702962c,airqualitysensor,air_host_001,airqualitysensor
2025-04-04T00:15:00Z,ppb,2.3,ppb,40.9,ppb,30.8,µg/m³,14.1,µg/m³,12.3,ppb,9.6,1743725700,75bab66e-284a-405b-a60a-a8d55882fd0e,airqualitysensor,air_host_001,airqualitysensor
2025-04-04T00:30:00Z,ppb,2.1,ppb,67.0,ppb,15.2,µg/m³,11.1,µg/m³,10.7,ppb,10.4,1743726600,2627cc70-d8d2-485b-b3b4-652b872d6209,airqualitysensor,air_host_001,airqualitysensor
2025-04-04T00:45:00Z,ppb,0.6,ppb,42.5,ppb,37.2,µg/m³,23.8,µg/m³,13.1,ppb,7.0,1743727500,4657eba2-f49d-45ba-8d90-cb18b4485a73,airqualitysensor,air_host_001,airqualitysensor
2025-04-04T01:00:00Z,ppb,1.9,ppb,29.5,ppb,27.7,µg/m³,13.6,µg/m³,11.9,ppb,16.3,1743728400,eb53cac2-58b4-4121-a8ea-69a0c23c43cb,airqualitysensor,air_host_001,airqualitysensor
2025-04-04T01:15:00Z,ppb,0.7,ppb,42.3,ppb,13.1,µg/m³,10.0,µg/m³,7.4,ppb,19.4,1743729300,72e99562-7a14-43f3-a99d-67d2d556f0b1,airqualitysensor,air_host_001,airqualitysensor
2025-04-04T01:30:00Z,ppb,1.4,ppb,44.9,ppb,31.1,µg/m³,15.1,µg/m³,14.6,ppb,18.5,1743730200,e086014f-a949-43af-b707-56579363e187,airqualitysensor,air_host_001,airqualitysensor
2025-04-04T01:45:00Z,ppb,1.2,ppb,40.1,ppb,37.1,µg/m³,20.8,µg/m³,5.5,ppb,6.5,1743731100,20960032-1fd4-429c-95fb-9bd160a49506,airqualitysensor,air_host_001,airqualitysensor
2025-04-04T02:00:00Z,ppb,2.4,ppb,64.6,ppb,29.0,µg/m³,21.4,µg/m³,14.8,ppb,10.8,1743732000,989d1ba5-db48-45ad-9b77-eecb1520511f,airqualitysensor,air_host_001,airqualitysensor
2025-04-04T02:15:00Z,ppb,0.9,ppb,58.4,ppb,26.5,µg/m³,13.1,µg/m³,10.3,ppb,7.0,1743732900,d6bcc2d3-31ac-473a-90bf-69d917079e6e,airqualitysensor,air_host_001,airqualitysensor
2025-04-04T02:30:00Z,ppb,2.4,ppb,76.9,ppb,21.3,µg/m³,5.2,µg/m³,14.8,ppb,6.0,1743733800,74c26b06-7c81-498d-9d72-31a10d166ccf,airqualitysensor,air_host_001,airqualitysensor
2025-04-04T02:45:00Z,ppb,1.1,ppb,58.1,ppb,32.4,µg/m³,11.2,µg/m³,3.2,ppb,9.6,1743734700,6335f08c-378b-4eae-b154-07799d46ac05,airqualitysensor,air_host_001,airqualitysensor
2025-04-04T03:00:00Z,ppb,1.7,ppb,57.6,ppb,31.2,µg/m³,11.8,µg/m³,8.7,ppb,8.2,1743735600,0ae37c50-130a-411e-b3af-00575774ce38,airqualitysensor,air_host_001,airqualitysensor
2025-04-04T03:15:00Z,ppb,1.5,ppb,45.2,ppb,34.7,µg/m³,15.6,µg/m³,7.3,ppb,19.3,1743736500,25a53f41-3833-47f0-9d71-5c8ec467d8ff,airqualitysensor,air_host_001,airqualitysensor
2025-04-04T03:30:00Z,ppb,1.2,ppb,71.7,ppb,30.1,µg/m³,13.7,µg/m³,6.7,ppb,14.7,1743737400,c3ad5e7a-1431-4315-9350-504325bfa957,airqualitysensor,air_host_001,airqualitysensor
2025-04-04T03:45:00Z,ppb,0.7,ppb,75.0,ppb,12.1,µg/m³,10.8,µg/m³,9.0,ppb,13.5,1743738300,f7ee5fbb-05ed-4796-b731-a766539f18a7,airqualitysensor,air_host_001,airqualitysensor
2025-04-04T04:00:00Z,ppb,0.6,ppb,69.9,ppb,19.5,µg/m³,20.3,µg/m³,14.6,ppb,6.3,1743739200,764b5ceb-2e0b-4d5c-a549-6f09681dc906,airqualitysensor,air_host_001,airqualitysensor
2025-04-04T04:15:00Z,ppb,0.8,ppb,21.8,ppb,27.9,µg/m³,17.2,µg/m³,3.5,ppb,13.3,1743740100,0eec773c-5595-4af1-a51a-6af923cfe3de,airqualitysensor,air_host_001,airqualitysensor
2025-04-04T04:30:00Z,ppb,0.7,ppb,71.3,ppb,20.5,µg/m³,9.6,µg/m³,3.3,ppb,12.2,1743741000,bb17a99e-69e7-4aea-a537-80161c9a9b4c,airqualitysensor,air_host_001,airqualitysensor
2025-04-04T04:45:00Z,ppb,2.1,ppb,59.3,ppb,13.1,µg/m³,22.4,µg/m³,15.0,ppb,15.2,1743741900,47faee84-eeaa-4c4e-bf76-ce4fb7d896d3,airqualitysensor,air_host_001,airqualitysensor
2025-04-04T05:00:00Z,ppb,1.0,ppb,42.9,ppb,19.5,µg/m³,7.2,µg/m³,12.7,ppb,12.4,1743742800,0b49e91f-5164-4cde-bec3-0f2ded0d57dc,airqualitysensor,air_host_001,airqualitysensor
2025-04-04T05:15:00Z,ppb,2.4,ppb,75.7,ppb,29.9,µg/m³,17.6,µg/m³,12.5,ppb,14.4,1743743700,1703a395-b1cc-4a20-b7cf-343420f39e00,airqualitysensor,air_host_001,airqualitysensor
2025-04-04T05:30:00Z,ppb,1.3,ppb,59.4,ppb,23.2,µg/m³,10.4,µg/m³,3.6,ppb,17.9,1743744600,7bf00097-597f-4ad4-958b-d7721a56584a,airqualitysensor,air_host_001,airqualitysensor
2025-04-04T05:45:00Z,ppb,1.8,ppb,51.8,ppb,17.5,µg/m³,10.3,µg/m³,5.1,ppb,19.3,1743745500,cdb8f0cb-1bd1-4ae2-b97c-a13c90233414,airqualitysensor,air_host_001,airqualitysensor
2025-04-04T06:00:00Z,ppb,1.0,ppb,65.1,ppb,21.3,µg/m³,20.7,µg/m³,10.1,ppb,8.9,1743746400,a4a6c20f-f341-4c9c-bb70-b6332ecb3519,airqualitysensor,air_host_001,airqualitysensor
2025-04-04T06:15:00Z,ppb,2.4,ppb,26.9,ppb,29.2,µg/m³,11.7,µg/m³,3.1,ppb,14.7,1743747300,099852da-2151-42d1-80b2-8de5cf07f467,airqualitysensor,air_host_001,airqualitysensor
2025-04-04T06:30:00Z,ppb,0.8,ppb,52.6,ppb,17.0,µg/m³,21.9,µg/m³,9.8,ppb,6.6,1743748200,07b11efb-7221-41bf-b22e-f26fa51b5b3e,airqualitysensor,air_host_001,airqualitysensor
2025-04-04T06:45:00Z,ppb,1.1,ppb,51.5,ppb,37.1,µg/m³,11.8,µg/m³,9.4,ppb,5.4,1743749100,8a5792bb-f70e-4715-b29a-d91c45715c49,airqualitysensor,air_host_001,airqualitysensor
2025-04-04T07:00:00Z,ppb,1.9,ppb,53.2,ppb,20.4,µg/m³,11.7,µg/m³,5.3,ppb,13.4,1743750000,58cf7fb8-2537-46b7-9011-c064eaf9fd11,airqualitysensor,air_host_001,airqualitysensor
2025-04-04T07:15:00Z,ppb,0.5,ppb,24.1,ppb,17.9,µg/m³,20.4,µg/m³,5.5,ppb,19.1,1743750900,fd5593ef-459b-41a2-9555-bff1781421da,airqualitysensor,air_host_001,airqualitysensor
2025-04-04T07:30:00Z,ppb,1.2,ppb,78.9,ppb,12.9,µg/m³,5.3,µg/m³,11.4,ppb,18.3,1743751800,adac5484-9f20-48d4-93da-1991a74c285a,airqualitysensor,air_host_001,airqualitysensor
2025-04-04T07:45:00Z,ppb,2.4,ppb,73.1,ppb,15.3,µg/m³,10.0,µg/m³,11.1,ppb,12.3,1743752700,c2ea717d-b6e7-4714-a302-7bd6c2efff60,airqualitysensor,air_host_001,airqualitysensor
